Person_ID,Study_ID,Site_no,Site_ID,Site_name,Country,Detailed_location,Latitude_deg,Latitude_min,Latitude_sec,Longitude_deg,Longitude_min,Longitude_sec,Lat_dec_deg,Lon_dec_deg,Habitat_type,Habitat_type_combined,Habitat_type_combined2,forest_biome,historical_fire_frequency,baseline_disturbance,plantation,exp_obs,before_after,controlled,blocked/paired,randomized,plot_area,location_source,historical_fire_frequency_biome,Internal_validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Rodrigo_2008,1,Rodrigo_2008_1,Bages and Solsonès,Spain,"Bages and 
Solsonès districts (central Catalonia, northeast Spain) (unburnt vs understory fire 1Y)",,,,,,,41.96,1.67,Evergreen needleleaf forest,Forest,Forest,,15.3,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,291,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Rodrigo_2008,2,Rodrigo_2008_2,Bages and Solsonès,Spain,"Bages and 
Solsonès districts (central Catalonia, northeast Spain) (unburnt vs understory fire 5Y)",,,,,,,41.96,1.67,Evergreen needleleaf forest,Forest,Forest,,15.3,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,291,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Rodrigo_2008,3,Rodrigo_2008_3,Bages and Solsonès,Spain,"Bages and 
Solsonès districts (central Catalonia, northeast Spain) (unburnt vs understory fire 13Y)",,,,,,,41.96,1.67,Evergreen needleleaf forest,Forest,Forest,,15.3,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,291,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Rodrigo_2008,4,Rodrigo_2008_4,Bages and Solsonès,Spain,"Bages and 
Solsonès districts (central Catalonia, northeast Spain) (unburnt vs understory fire 19Y)",,,,,,,41.96,1.67,Evergreen needleleaf forest,Forest,Forest,,15.3,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,291,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Rodrigo_2008,5,Rodrigo_2008_5,Bages and Solsonès,Spain,"Bages and 
Solsonès districts (central Catalonia, northeast Spain) (unburnt vs canopy fire 1Y)",,,,,,,41.96,1.67,Evergreen needleleaf forest,Forest,Forest,,15.3,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,291,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Rodrigo_2008,6,Rodrigo_2008_6,Bages and Solsonès,Spain,"Bages and 
Solsonès districts (central Catalonia, northeast Spain) (unburnt vs canopy fire 5Y)",,,,,,,41.96,1.67,Evergreen needleleaf forest,Forest,Forest,,15.3,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,291,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Rodrigo_2008,7,Rodrigo_2008_7,Bages and Solsonès,Spain,"Bages and 
Solsonès districts (central Catalonia, northeast Spain) (unburnt vs canopy fire 13Y)",,,,,,,41.96,1.67,Evergreen needleleaf forest,Forest,Forest,,15.3,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,291,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Rodrigo_2008,8,Rodrigo_2008_8,Bages and Solsonès,Spain,"Bages and 
Solsonès districts (central Catalonia, northeast Spain) (unburnt vs canopy fire 19Y)",,,,,,,41.96,1.67,Evergreen needleleaf forest,Forest,Forest,,15.3,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,291,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Neumann_1995,1,Neumann_1995_1,Blakeville,Australia,forest known as 'Blakeville'  and is located approximately 18km south of Daylesford in west-central Victoria (unburnt vs spring burnt A),-37,-31,,144,10,,-37.52,144.17,Evergreen needleleaf forest,Forest,Forest,,-999,,,Experimental,FALSE,TRUE,TRUE,FALSE,161000,Precise location in paper,291,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Neumann_1995,2,Neumann_1995_2,Blakeville,Australia,forest known as 'Blakeville'  and is located approximately 18km south of Daylesford in west-central Victoria (unburnt vs spring burnt B),-37,-31,,144,10,,-37.52,144.17,Evergreen needleleaf forest,Forest,Forest,,-999,,,Experimental,FALSE,TRUE,TRUE,FALSE,161000,Precise location in paper,291,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Neumann_1995,3,Neumann_1995_3,Blakeville,Australia,forest known as 'Blakeville'  and is located approximately 18km south of Daylesford in west-central Victoria (unburnt vs autumn burnt A),-37,-31,,144,10,,-37.52,144.17,Evergreen needleleaf forest,Forest,Forest,,-999,,,Experimental,FALSE,TRUE,TRUE,FALSE,161000,Precise location in paper,291,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Neumann_1995,4,Neumann_1995_4,Blakeville,Australia,forest known as 'Blakeville'  and is located approximately 18km south of Daylesford in west-central Victoria (unburnt vs autumn burnt B),-37,-31,,144,10,,-37.52,144.17,Evergreen needleleaf forest,Forest,Forest,,-999,,,Experimental,FALSE,TRUE,TRUE,FALSE,161000,Precise location in paper,291,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Carvalho_2020,1,Carvalho_2020_1,Territory Wildlife Park,Australia,"Territory Wildlife Park , located at Berry Springs, 40 km southeast of Darwin (unburnt vs moderate)",-12,-42,,130,59,,-12.7,130.98,Savanna ,Savanna ,Savanna ,,-999,,,Experimental,FALSE,TRUE,TRUE,FALSE,10000,Precise location in paper,12,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Carvalho_2020,2,Carvalho_2020_2,Territory Wildlife Park,Australia,"Territory Wildlife Park , located at Berry Springs, 40 km southeast of Darwin (unburnt vs high)",-12,-42,,130,59,,-12.7,130.98,Savanna ,Savanna ,Savanna ,,-999,,,Experimental,FALSE,TRUE,TRUE,FALSE,10000,Precise location in paper,12,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Sackmann_2006,1,Sackmann_2006_1,Nahuel Huapi National Park,Argentina,"Nahuel Huapi National 
Park, Bariloche",,,,,,,-41.13,-71.31,Temperate deciduous broadleaf forest,Forest,Forest,,10,,,Observational,FALSE,TRUE,TRUE,FALSE,1250,Derived from location description,190,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Sackmann_2006,2,Sackmann_2006_2,Nahuel Huapi National Park,Argentina,"Nahuel Huapi National 
Park, Bariloche",,,,,,,-41.13,-71.31,Scrub,Scrub,Scrub,,10,,,Observational,FALSE,TRUE,TRUE,FALSE,1250,Derived from location description,12,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
